ID,"Oznaczenie lokalu","Cena [PLN]","Cena za m² [PLN]","Data aktualizacji","Cena przed zmianą [PLN]","Cena za m² przed zmianą [PLN]","Nazwa dewelopera","Forma prawna dewelopera","Nr NIP","Nr REGON","Nr telefonu","Adres poczty elektronicznej","Adres strony internetowej dewelopera","Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Sposób kontaktu nabywcy z deweloperem"
11494,"Miejsce postojowe K6B/6GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11495,"Miejsce postojowe K6B/9GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11496,"Miejsce postojowe 76G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11497,"Miejsce postojowe 77G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11498,"Miejsce postojowe 95G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11499,"Miejsce postojowe 103G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11500,"Miejsce postojowe 106G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11501,"Miejsce postojowe 119G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11502,"Miejsce postojowe 120G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11503,"Miejsce postojowe 121G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11504,"Miejsce postojowe 122G",80000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11505,"Miejsce postojowe 129G",80000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11510,"Miejsce postojowe 78/79G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11513,"Miejsce postojowe 84/85G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11514,"Miejsce postojowe 86/87G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11515,"Miejsce postojowe 111/112G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11516,"Miejsce postojowe 113/114G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11519,"Miejsce postojowe 2G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11520,"Miejsce postojowe 17G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11521,"Miejsce postojowe 18G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11522,"Miejsce postojowe 19G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11523,"Miejsce postojowe 32G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11524,"Miejsce postojowe 37G",80000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11525,"Miejsce postojowe 13/14G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11526,"Miejsce postojowe 48/49G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11527,"Miejsce postojowe 52/53G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11528,"Miejsce postojowe 54/55G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11529,"Miejsce postojowe 56/57G",110000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11530,"Komórka lokatorska nr 2",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11531,"Komórka lokatorska nr 3",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11532,"Komórka lokatorska nr 4",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11533,"Komórka lokatorska nr 5",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11534,"Komórka lokatorska nr 6",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11535,"Komórka lokatorska nr 7",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11536,"Komórka lokatorska nr 8",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11537,"Komórka lokatorska nr 9",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11538,"Komórka lokatorska nr 11",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11539,"Komórka lokatorska nr 16",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11540,"Komórka lokatorska nr 17",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11541,"Komórka lokatorska nr 18",7000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11542,"Komórka lokatorska nr 6",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11543,"Komórka lokatorska nr 7",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11544,"Komórka lokatorska nr 9",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11551,"Komórka lokatorska nr 21",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11552,"Komórka lokatorska nr 22",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11553,"Komórka lokatorska nr 23",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11554,"Komórka lokatorska nr 24",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11555,"Komórka lokatorska nr 25",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11556,"Komórka lokatorska nr 26",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11557,"Komórka lokatorska nr 27",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11558,"Komórka lokatorska nr 30",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11559,"Komórka lokatorska nr 31",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11560,"Komórka lokatorska nr 33",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11561,"Komórka lokatorska nr 35",12000.00,,"2025-09-05 19:11:47",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11562,"Komórka lokatorska nr 36",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11563,"Komórka lokatorska nr 38",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11564,"Komórka lokatorska nr 39",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11565,"Komórka lokatorska nr 40",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11566,"Komórka lokatorska nr 41",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11567,"Komórka lokatorska nr 42",12000.00,,"2025-09-05 19:11:46",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
